PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
86580,2023-03-31,NVDA,277.76999,0.196632,2470000.0,0.02395,0.035052,Energy
86580,2023-04-28,NVDA,277.48999,-0.001008,2470000.0,0.008976,0.014642,Energy
86580,2023-05-31,NVDA,378.34,0.363437,2470000.0,0.000708,0.002482,Energy
86580,2023-06-30,NVDA,423.01999,0.118201,2470000.0,0.066183,0.064728,Energy
86580,2023-07-31,NVDA,467.29001,0.104652,2470000.0,0.035618,0.031139,Energy
86580,2023-08-31,NVDA,493.54999,0.056196,2470000.0,-0.020608,-0.017716,Energy
86580,2023-09-29,NVDA,434.98999,-0.118570,2470000.0,-0.04739,-0.048719,Energy
86580,2023-10-31,NVDA,407.79999,-0.062507,2466000.0,-0.028865,-0.02198,Energy
86580,2023-11-30,NVDA,467.70001,0.146886,2470000.0,0.092053,0.089179,Energy
86580,2023-12-29,NVDA,495.22,0.058927,2470000.0,0.053604,0.044229,Energy
86580,2024-01-31,NVDA,615.27002,0.242418,2464000.0,0.007561,0.015896,Energy
86580,2024-02-29,NVDA,791.12,0.285809,2500000.0,0.050583,0.051721,Energy
86580,2024-03-28,NVDA,903.56,0.142178,2463727.0,0.03245,0.031019,Energy
86580,2024-04-30,NVDA,864.02002,-0.043760,2459834.0,-0.042724,-0.041615,Energy
86580,2024-05-31,NVDA,1096.32996,0.268871,2459834.0,0.046553,0.048021,Energy
86580,2024-06-28,NVDA,123.54,0.126942,24568840.0,0.026073,0.03467,Energy
86580,2024-07-31,NVDA,117.02,-0.052776,24562000.0,0.019878,0.011321,Energy
86580,2024-08-30,NVDA,119.37,0.020082,24530000.0,0.021572,0.022835,Energy
86580,2024-09-30,NVDA,121.44,0.017425,24530000.0,0.020969,0.020197,Energy
86580,2024-10-31,NVDA,132.75999,0.093215,24508000.0,-0.008298,-0.009897,Energy
86580,2024-11-29,NVDA,138.25,0.041353,24490000.0,0.064855,0.057301,Energy
86580,2024-12-31,NVDA,134.28999,-0.028571,24490000.0,-0.031582,-0.02499,Energy
90319,2021-05-28,GOOGL,2356.8501,0.001423,300747.0,0.007092,0.005487,Consumer Discretionary
90319,2021-06-30,GOOGL,2441.79004,0.036040,301040.0,0.023422,0.022214,Consumer Discretionary
90319,2021-07-30,GOOGL,2694.53003,0.103506,301085.0,0.011828,0.022748,Consumer Discretionary
90319,2021-08-31,GOOGL,2893.94995,0.074009,301085.0,0.027146,0.02899,Consumer Discretionary
