PERMNO,date,TICKER,PRC,VOL,RET,sprtrn
10516,2024-10-31,ADM,55.21,542677.0,-0.075829,-0.009897
10516,2024-11-29,ADM,54.6,651233.0,-0.001992,0.057301
10516,2024-12-31,ADM,50.52,681553.0,-0.074725,-0.02499
10696,2019-01-31,FISV,82.93,1705694.0,0.128453,0.078684
10696,2019-02-28,FISV,84.69,815787.0,0.021223,0.029729
10696,2019-03-29,FISV,88.28,794472.0,0.04239,0.017924
10696,2019-04-30,FISV,87.24,921730.0,-0.011781,0.039313
10696,2019-05-31,FISV,85.86,855682.0,-0.015818,-0.065778
10696,2019-06-28,FISV,91.16,616579.0,0.061728,0.06893
10696,2019-07-31,FISV,105.43,1476326.0,0.156538,0.013128
10696,2019-08-30,FISV,106.94,1008095.0,0.014322,-0.018092
10696,2019-09-30,FISV,103.59,809322.0,-0.031326,0.017181
10696,2019-10-31,FISV,106.14,643988.0,0.024616,0.020432
10696,2019-11-29,FISV,116.24,647547.0,0.095157,0.034047
10696,2019-12-31,FISV,115.63,481082.0,-0.005248,0.02859
10696,2020-01-31,FISV,118.61,571881.0,0.025772,-0.001628
10696,2020-02-28,FISV,109.36,739333.0,-0.077987,-0.08411
10696,2020-03-31,FISV,94.99,1656009.0,-0.131401,-0.125119
10696,2020-04-30,FISV,103.06,877734.0,0.084956,0.126844
10696,2020-05-29,FISV,106.77,939186.0,0.035998,0.045282
10696,2020-06-30,FISV,97.62,1174613.0,-0.085698,0.018388
10696,2020-07-31,FISV,99.79,829049.0,0.022229,0.055101
10696,2020-08-31,FISV,99.58,1043552.0,-0.002104,0.070065
10696,2020-09-30,FISV,103.05,1215364.0,0.034846,-0.039228
10696,2020-10-30,FISV,95.47,924791.0,-0.073557,-0.027666
10696,2020-11-30,FISV,115.18,770567.0,0.206452,0.107546
10696,2020-12-31,FISV,113.86,874610.0,-0.01146,0.037121
10696,2021-01-29,FISV,102.69,987091.0,-0.098103,-0.011137
10696,2021-02-26,FISV,115.37,924653.0,0.123478,0.026091
10696,2021-03-31,FISV,119.04,910593.0,0.031811,0.042439
10696,2021-04-30,FISV,120.12,917002.0,0.009073,0.052425
10696,2021-05-28,FISV,115.2,974048.0,-0.040959,0.005487
10696,2021-06-30,FISV,106.89,957951.0,-0.072135,0.022214
10696,2021-07-30,FISV,115.11,779497.0,0.076902,0.022748
10696,2021-08-31,FISV,117.79,925691.0,0.023282,0.02899
10696,2021-09-30,FISV,108.5,797790.0,-0.078869,-0.047569
10696,2021-10-29,FISV,98.49,862105.0,-0.092258,0.069144
10696,2021-11-30,FISV,96.52,1194148.0,-0.020002,-0.008334
10696,2021-12-31,FISV,103.79,811965.0,0.075321,0.043613
10696,2022-01-31,FISV,105.7,833526.0,0.018403,-0.052585
10696,2022-02-28,FISV,97.67,878807.0,-0.07597,-0.031361
10696,2022-03-31,FISV,101.4,774122.0,0.03819,0.035773
10696,2022-04-29,FISV,97.92,585315.0,-0.03432,-0.087957
